email,hidden_ability,language,name,persona,preferred_paper_type,strong_chapter_ids,student_code,synthetic_student_index,target_grade,target_score,user_id,weak_chapter_ids
synthetic.student0401@mathsy.synthetic,0.6798,english,Synthetic Student 401 (B+ Level),Flexible Learner,kertas2,"[10, 11, 5, 8]",STU-SYN0401,401,B+,67.73,15163,"[2, 15]"
synthetic.student0402@mathsy.synthetic,0.5749,bm,Synthetic Student 402 (C Level),Weekend Learner,mixed,"[17, 11, 12]",STU-SYN0402,402,C,50.88,15164,"[5, 4, 2, 10, 16]"
synthetic.student0403@mathsy.synthetic,0.4719,english,Synthetic Student 403 (G Level),Fresh Starter,kertas2,"[8, 18]",STU-SYN0403,403,G,31.11,15165,"[15, 13, 11, 1, 16]"
synthetic.student0404@mathsy.synthetic,0.6042,english,Synthetic Student 404 (B Level),Consistent Climber,kertas1,"[2, 13, 15, 17]",STU-SYN0404,404,B,60.15,15166,"[3, 6, 14, 9, 8]"
synthetic.student0405@mathsy.synthetic,0.5975,english,Synthetic Student 405 (C+ Level),Deep Focus Learner,kertas2,"[11, 14, 18, 3]",STU-SYN0405,405,C+,55.9,15167,"[9, 8]"
synthetic.student0406@mathsy.synthetic,0.5516,english,Synthetic Student 406 (C Level),Deep Focus Learner,kertas1,"[14, 1, 15, 2]",STU-SYN0406,406,C,51.69,15168,"[12, 8]"
synthetic.student0407@mathsy.synthetic,0.7232,bm,Synthetic Student 407 (A- Level),Consistent Climber,kertas1,"[15, 14, 17, 6]",STU-SYN0407,407,A-,74.96,15169,"[1, 5, 16]"
synthetic.student0408@mathsy.synthetic,0.819,english,Synthetic Student 408 (A Level),High Achiever,kertas1,"[13, 14, 12]",STU-SYN0408,408,A,83.16,15170,"[5, 7, 9, 11, 17]"
synthetic.student0409@mathsy.synthetic,0.6245,english,Synthetic Student 409 (B+ Level),Consistent Climber,kertas1,"[6, 17]",STU-SYN0409,409,B+,66.63,15171,"[4, 9]"
synthetic.student0410@mathsy.synthetic,0.6119,english,Synthetic Student 410 (C+ Level),Flexible Learner,mixed,"[7, 11, 9, 3]",STU-SYN0410,410,C+,58.59,15172,"[14, 16]"
synthetic.student0411@mathsy.synthetic,0.5668,english,Synthetic Student 411 (D Level),Weekend Learner,mixed,"[17, 11, 16]",STU-SYN0411,411,D,49.13,15173,"[3, 5, 13, 12, 4]"
synthetic.student0412@mathsy.synthetic,0.7547,english,Synthetic Student 412 (B+ Level),Deep Focus Learner,kertas2,"[17, 4, 5, 14]",STU-SYN0412,412,B+,68.35,15174,"[3, 15, 2, 13, 7]"
synthetic.student0413@mathsy.synthetic,0.489,english,Synthetic Student 413 (E Level),Flexible Learner,kertas1,"[13, 15, 17]",STU-SYN0413,413,E,44.7,15175,"[1, 16, 11, 9]"
synthetic.student0414@mathsy.synthetic,0.94,english,Synthetic Student 414 (A+ Level),High Achiever,kertas1,"[2, 8, 10]",STU-SYN0414,414,A+,98,15176,"[14, 5, 4]"
synthetic.student0415@mathsy.synthetic,0.8369,english,Synthetic Student 415 (A Level),High Achiever,kertas2,"[12, 14, 6]",STU-SYN0415,415,A,84.69,15177,"[18, 5, 9, 3, 11]"
synthetic.student0416@mathsy.synthetic,0.4418,english,Synthetic Student 416 (G Level),Fresh Starter,mixed,"[12, 17, 13, 8]",STU-SYN0416,416,G,26.47,15178,"[11, 4, 6, 15, 10]"
synthetic.student0417@mathsy.synthetic,0.5606,bm,Synthetic Student 417 (C Level),Weekend Learner,kertas1,"[2, 9, 5, 18]",STU-SYN0417,417,C,50.52,15179,"[13, 6, 14, 10, 15]"
synthetic.student0418@mathsy.synthetic,0.7892,english,Synthetic Student 418 (A- Level),Consistent Climber,kertas1,"[4, 13, 12, 8]",STU-SYN0418,418,A-,78.14,15180,"[6, 9, 3, 7, 16]"
synthetic.student0419@mathsy.synthetic,0.6823,english,Synthetic Student 419 (A- Level),Consistent Climber,mixed,"[15, 16]",STU-SYN0419,419,A-,71.87,15181,"[17, 4, 10]"
synthetic.student0420@mathsy.synthetic,0.7476,bm,Synthetic Student 420 (B+ Level),Deep Focus Learner,kertas1,"[5, 18]",STU-SYN0420,420,B+,69.33,15182,"[10, 6, 14, 4]"
synthetic.student0421@mathsy.synthetic,0.5058,english,Synthetic Student 421 (D Level),Deep Focus Learner,kertas2,"[9, 17, 14, 5]",STU-SYN0421,421,D,46.61,15183,"[13, 1, 18, 10]"
synthetic.student0422@mathsy.synthetic,0.6571,english,Synthetic Student 422 (B Level),Flexible Learner,kertas1,"[18, 17, 15]",STU-SYN0422,422,B,64.36,15184,"[1, 11]"
synthetic.student0423@mathsy.synthetic,0.4998,bm,Synthetic Student 423 (D Level),Weekend Learner,mixed,"[5, 4]",STU-SYN0423,423,D,47.27,15185,"[13, 9]"
synthetic.student0424@mathsy.synthetic,0.4562,english,Synthetic Student 424 (G Level),Fresh Starter,kertas1,"[4, 8, 3, 17]",STU-SYN0424,424,G,32.38,15186,"[16, 6, 11, 9]"
synthetic.student0425@mathsy.synthetic,0.5945,bm,Synthetic Student 425 (C Level),Flexible Learner,mixed,"[4, 10, 5, 11]",STU-SYN0425,425,C,52.07,15187,"[1, 7, 12, 8, 13]"
synthetic.student0426@mathsy.synthetic,0.7152,english,Synthetic Student 426 (A- Level),Consistent Climber,kertas1,"[4, 11, 17, 1]",STU-SYN0426,426,A-,71.74,15188,"[7, 16, 10, 14, 8]"
synthetic.student0427@mathsy.synthetic,0.7379,bm,Synthetic Student 427 (A- Level),Flexible Learner,kertas1,"[16, 2, 8, 15]",STU-SYN0427,427,A-,71.64,15189,"[9, 18, 17, 1]"
synthetic.student0428@mathsy.synthetic,0.7911,english,Synthetic Student 428 (A- Level),Consistent Climber,kertas1,"[8, 7]",STU-SYN0428,428,A-,78.66,15190,"[4, 12, 13, 3]"
synthetic.student0429@mathsy.synthetic,0.5944,english,Synthetic Student 429 (C+ Level),Flexible Learner,kertas2,"[6, 12]",STU-SYN0429,429,C+,55.87,15191,"[18, 15, 8]"
synthetic.student0430@mathsy.synthetic,0.5995,english,Synthetic Student 430 (C+ Level),Consistent Climber,kertas1,"[14, 1, 18, 2]",STU-SYN0430,430,C+,58.8,15192,"[12, 3, 10, 9, 6]"
synthetic.student0431@mathsy.synthetic,0.737,english,Synthetic Student 431 (A- Level),Consistent Climber,kertas2,"[1, 13, 8]",STU-SYN0431,431,A-,73.19,15193,"[18, 10, 14, 5, 12]"
synthetic.student0432@mathsy.synthetic,0.3653,english,Synthetic Student 432 (G Level),Fresh Starter,mixed,"[2, 17, 7]",STU-SYN0432,432,G,25,15194,"[3, 14, 6]"
synthetic.student0433@mathsy.synthetic,0.6268,bm,Synthetic Student 433 (B Level),Flexible Learner,mixed,"[5, 15]",STU-SYN0433,433,B,60.81,15195,"[12, 10, 6, 2]"
synthetic.student0434@mathsy.synthetic,0.7163,bm,Synthetic Student 434 (B+ Level),Deep Focus Learner,kertas1,"[6, 15, 7, 13]",STU-SYN0434,434,B+,66.5,15196,"[2, 3, 8, 1]"
synthetic.student0435@mathsy.synthetic,0.834,english,Synthetic Student 435 (A Level),High Achiever,kertas2,"[9, 10]",STU-SYN0435,435,A,84.4,15197,"[4, 17, 3, 7, 6]"
synthetic.student0436@mathsy.synthetic,0.4989,english,Synthetic Student 436 (D Level),Weekend Learner,mixed,"[1, 4, 15, 17]",STU-SYN0436,436,D,48.45,15198,"[2, 14]"
synthetic.student0437@mathsy.synthetic,0.5689,english,Synthetic Student 437 (D Level),Flexible Learner,mixed,"[13, 7, 17, 1]",STU-SYN0437,437,D,49.03,15199,"[14, 8, 3, 2, 16]"
synthetic.student0438@mathsy.synthetic,0.5922,bm,Synthetic Student 438 (C+ Level),Weekend Learner,kertas2,"[6, 16, 10]",STU-SYN0438,438,C+,58.44,15200,"[9, 1]"
synthetic.student0439@mathsy.synthetic,0.4913,bm,Synthetic Student 439 (D Level),Weekend Learner,kertas1,"[10, 17]",STU-SYN0439,439,D,47.6,15201,"[9, 12]"
synthetic.student0440@mathsy.synthetic,0.7028,bm,Synthetic Student 440 (B+ Level),Deep Focus Learner,kertas1,"[5, 10, 18]",STU-SYN0440,440,B+,65.45,15202,"[7, 17, 8]"
synthetic.student0441@mathsy.synthetic,0.5824,english,Synthetic Student 441 (C Level),Weekend Learner,kertas1,"[2, 9, 8]",STU-SYN0441,441,C,52.04,15203,"[3, 11, 4, 14]"
synthetic.student0442@mathsy.synthetic,0.6131,bm,Synthetic Student 442 (C+ Level),Flexible Learner,kertas2,"[17, 8, 16]",STU-SYN0442,442,C+,59.88,15204,"[1, 12, 4]"
synthetic.student0443@mathsy.synthetic,0.9113,english,Synthetic Student 443 (A+ Level),High Achiever,kertas1,"[6, 2, 8]",STU-SYN0443,443,A+,90.71,15205,"[1, 7, 17, 14, 4]"
synthetic.student0444@mathsy.synthetic,0.3745,english,Synthetic Student 444 (G Level),Fresh Starter,kertas1,"[5, 18, 4, 17]",STU-SYN0444,444,G,25,15206,"[14, 10, 3, 1]"
synthetic.student0445@mathsy.synthetic,0.7191,bm,Synthetic Student 445 (B Level),Weekend Learner,kertas2,"[4, 6, 13, 18]",STU-SYN0445,445,B,64.55,15207,"[14, 7, 15, 9, 16]"
synthetic.student0446@mathsy.synthetic,0.5127,english,Synthetic Student 446 (D Level),Weekend Learner,mixed,"[2, 14, 17, 9]",STU-SYN0446,446,D,46.73,15208,"[5, 13, 3, 10]"
synthetic.student0447@mathsy.synthetic,0.3331,english,Synthetic Student 447 (G Level),Fresh Starter,kertas2,"[7, 5, 9]",STU-SYN0447,447,G,25,15209,"[12, 6, 1, 17, 18]"
synthetic.student0448@mathsy.synthetic,0.7043,english,Synthetic Student 448 (B+ Level),Weekend Learner,kertas2,"[6, 12]",STU-SYN0448,448,B+,65.86,15210,"[3, 5, 9, 8]"
synthetic.student0449@mathsy.synthetic,0.7214,english,Synthetic Student 449 (A- Level),Consistent Climber,kertas2,"[10, 13, 14]",STU-SYN0449,449,A-,76.13,15211,"[15, 8]"
synthetic.student0450@mathsy.synthetic,0.756,bm,Synthetic Student 450 (A- Level),Consistent Climber,kertas1,"[10, 6]",STU-SYN0450,450,A-,78.86,15212,"[7, 14]"
synthetic.student0451@mathsy.synthetic,0.6808,english,Synthetic Student 451 (B+ Level),Consistent Climber,kertas2,"[4, 10, 13, 6]",STU-SYN0451,451,B+,69.18,15213,"[16, 3, 9]"
synthetic.student0452@mathsy.synthetic,0.5652,english,Synthetic Student 452 (C Level),Deep Focus Learner,kertas1,"[2, 5, 13]",STU-SYN0452,452,C,51.4,15214,"[7, 4, 11, 10]"
synthetic.student0453@mathsy.synthetic,0.5799,bm,Synthetic Student 453 (C+ Level),Flexible Learner,mixed,"[13, 9]",STU-SYN0453,453,C+,55.06,15215,"[14, 10, 7, 1]"
synthetic.student0454@mathsy.synthetic,0.4254,english,Synthetic Student 454 (E Level),Weekend Learner,kertas1,"[2, 10, 14, 16]",STU-SYN0454,454,E,41.86,15216,"[12, 7]"
synthetic.student0455@mathsy.synthetic,0.8059,bm,Synthetic Student 455 (A Level),High Achiever,kertas1,"[11, 3, 2, 5]",STU-SYN0455,455,A,81.53,15217,"[12, 16, 1, 7, 15]"
synthetic.student0456@mathsy.synthetic,0.493,english,Synthetic Student 456 (D Level),Weekend Learner,mixed,"[10, 16]",STU-SYN0456,456,D,45.25,15218,"[7, 8, 12, 6]"
synthetic.student0457@mathsy.synthetic,0.6062,english,Synthetic Student 457 (C Level),Deep Focus Learner,mixed,"[16, 2, 10, 4]",STU-SYN0457,457,C,54.7,15219,"[1, 12, 3, 14]"
synthetic.student0458@mathsy.synthetic,0.5564,bm,Synthetic Student 458 (C Level),Deep Focus Learner,mixed,"[13, 3, 12]",STU-SYN0458,458,C,51.82,15220,"[16, 5, 7]"
synthetic.student0459@mathsy.synthetic,0.6705,english,Synthetic Student 459 (B Level),Deep Focus Learner,kertas1,"[4, 3]",STU-SYN0459,459,B,60.6,15221,"[13, 1, 14, 15, 17]"
synthetic.student0460@mathsy.synthetic,0.9019,english,Synthetic Student 460 (A+ Level),High Achiever,kertas2,"[8, 3]",STU-SYN0460,460,A+,91.3,15222,"[9, 7, 10, 2]"
synthetic.student0461@mathsy.synthetic,0.6372,english,Synthetic Student 461 (C+ Level),Flexible Learner,mixed,"[3, 7, 10, 18]",STU-SYN0461,461,C+,58.72,15223,"[15, 1, 8, 4, 6]"
synthetic.student0462@mathsy.synthetic,0.3891,english,Synthetic Student 462 (G Level),Fresh Starter,kertas2,"[1, 18, 17, 5]",STU-SYN0462,462,G,26.02,15224,"[14, 9, 6]"
synthetic.student0463@mathsy.synthetic,0.7956,bm,Synthetic Student 463 (A- Level),Deep Focus Learner,kertas1,"[12, 4]",STU-SYN0463,463,A-,74.88,15225,"[2, 3, 14, 7]"
synthetic.student0464@mathsy.synthetic,0.7157,english,Synthetic Student 464 (A- Level),Consistent Climber,kertas1,"[4, 18, 12]",STU-SYN0464,464,A-,70.25,15226,"[5, 1, 11, 10, 9]"
synthetic.student0465@mathsy.synthetic,0.522,english,Synthetic Student 465 (G Level),Fresh Starter,kertas1,"[10, 8, 15]",STU-SYN0465,465,G,37.88,15227,"[4, 5]"
synthetic.student0466@mathsy.synthetic,0.5037,bm,Synthetic Student 466 (D Level),Flexible Learner,mixed,"[3, 8]",STU-SYN0466,466,D,46.45,15228,"[16, 1, 6]"
synthetic.student0467@mathsy.synthetic,0.3713,english,Synthetic Student 467 (G Level),Fresh Starter,kertas1,"[14, 5]",STU-SYN0467,467,G,25,15229,"[6, 12]"
synthetic.student0468@mathsy.synthetic,0.8366,bm,Synthetic Student 468 (A Level),Consistent Climber,kertas1,"[5, 4, 7, 6]",STU-SYN0468,468,A,82.84,15230,"[8, 9, 17, 16, 3]"
synthetic.student0469@mathsy.synthetic,0.6894,english,Synthetic Student 469 (A- Level),Consistent Climber,mixed,"[17, 15, 1]",STU-SYN0469,469,A-,75.54,15231,"[14, 16]"
synthetic.student0470@mathsy.synthetic,0.8474,english,Synthetic Student 470 (A Level),Consistent Climber,kertas1,"[8, 6]",STU-SYN0470,470,A,84.08,15232,"[11, 17, 2, 4]"
synthetic.student0471@mathsy.synthetic,0.5648,english,Synthetic Student 471 (D Level),Fresh Starter,kertas1,"[15, 7]",STU-SYN0471,471,D,47.31,15233,"[9, 18]"
synthetic.student0472@mathsy.synthetic,0.6173,english,Synthetic Student 472 (D Level),Fresh Starter,kertas1,"[12, 10]",STU-SYN0472,472,D,45.13,15234,"[4, 17, 14, 18, 6]"
synthetic.student0473@mathsy.synthetic,0.8687,english,Synthetic Student 473 (A Level),High Achiever,kertas1,"[17, 1, 3, 10]",STU-SYN0473,473,A,88.91,15235,"[7, 13, 2, 15, 5]"
synthetic.student0474@mathsy.synthetic,0.6163,english,Synthetic Student 474 (C Level),Fresh Starter,kertas2,"[12, 3]",STU-SYN0474,474,C,50.2,15236,"[16, 6]"
synthetic.student0475@mathsy.synthetic,0.7388,english,Synthetic Student 475 (B+ Level),Weekend Learner,kertas1,"[8, 17]",STU-SYN0475,475,B+,69.71,15237,"[1, 14]"
synthetic.student0476@mathsy.synthetic,0.7986,english,Synthetic Student 476 (A- Level),Consistent Climber,mixed,"[5, 9]",STU-SYN0476,476,A-,77.64,15238,"[8, 17, 4, 15, 16]"
synthetic.student0477@mathsy.synthetic,0.4304,english,Synthetic Student 477 (G Level),Weekend Learner,kertas2,"[17, 9, 14]",STU-SYN0477,477,G,37.22,15239,"[13, 6, 7, 4]"
synthetic.student0478@mathsy.synthetic,0.4855,bm,Synthetic Student 478 (D Level),Flexible Learner,kertas1,"[6, 7, 9]",STU-SYN0478,478,D,45.5,15240,"[10, 1]"
synthetic.student0479@mathsy.synthetic,0.3571,bm,Synthetic Student 479 (G Level),Fresh Starter,kertas2,"[13, 5]",STU-SYN0479,479,G,25,15241,"[2, 4, 7, 3]"
synthetic.student0480@mathsy.synthetic,0.544,bm,Synthetic Student 480 (C Level),Flexible Learner,mixed,"[11, 8, 1, 5]",STU-SYN0480,480,C,52.49,15242,"[10, 2, 17]"
synthetic.student0481@mathsy.synthetic,0.6225,english,Synthetic Student 481 (C+ Level),Flexible Learner,mixed,"[3, 7, 11, 18]",STU-SYN0481,481,C+,57.93,15243,"[2, 12, 4, 1]"
synthetic.student0482@mathsy.synthetic,0.7397,english,Synthetic Student 482 (A- Level),Consistent Climber,mixed,"[18, 7, 2]",STU-SYN0482,482,A-,74.32,15244,"[10, 12, 16]"
synthetic.student0483@mathsy.synthetic,0.6539,bm,Synthetic Student 483 (B Level),Flexible Learner,kertas2,"[4, 1, 9, 11]",STU-SYN0483,483,B,64.54,15245,"[18, 2, 8]"
synthetic.student0484@mathsy.synthetic,0.6163,english,Synthetic Student 484 (D Level),Fresh Starter,kertas1,"[6, 9]",STU-SYN0484,484,D,48.51,15246,"[17, 18, 8, 1]"
synthetic.student0485@mathsy.synthetic,0.5313,english,Synthetic Student 485 (D Level),Flexible Learner,mixed,"[15, 7, 17]",STU-SYN0485,485,D,48.99,15247,"[18, 6, 13, 14, 3]"
synthetic.student0486@mathsy.synthetic,0.8101,bm,Synthetic Student 486 (A Level),High Achiever,mixed,"[14, 12, 1]",STU-SYN0486,486,A,83.71,15248,"[15, 11, 3, 6, 2]"
synthetic.student0487@mathsy.synthetic,0.762,english,Synthetic Student 487 (A Level),Consistent Climber,kertas1,"[11, 15, 7, 16]",STU-SYN0487,487,A,80.01,15249,"[1, 5]"
synthetic.student0488@mathsy.synthetic,0.8224,bm,Synthetic Student 488 (A Level),Consistent Climber,kertas2,"[9, 12, 4]",STU-SYN0488,488,A,83.11,15250,"[13, 11, 18]"
synthetic.student0489@mathsy.synthetic,0.4132,english,Synthetic Student 489 (G Level),Fresh Starter,kertas1,"[4, 10, 14, 5]",STU-SYN0489,489,G,28.97,15251,"[17, 13, 9]"
synthetic.student0490@mathsy.synthetic,0.593,english,Synthetic Student 490 (B Level),Consistent Climber,mixed,"[4, 1, 16, 8]",STU-SYN0490,490,B,60.82,15252,"[13, 15, 10]"
synthetic.student0491@mathsy.synthetic,0.5935,bm,Synthetic Student 491 (B Level),Consistent Climber,kertas2,"[2, 11]",STU-SYN0491,491,B,62.12,15253,"[5, 13, 1, 17]"
synthetic.student0492@mathsy.synthetic,0.5379,bm,Synthetic Student 492 (C Level),Flexible Learner,kertas1,"[7, 14, 3, 11]",STU-SYN0492,492,C,51.11,15254,"[13, 5, 8, 10]"
synthetic.student0493@mathsy.synthetic,0.8182,english,Synthetic Student 493 (A Level),Consistent Climber,kertas1,"[9, 12]",STU-SYN0493,493,A,85.9,15255,"[15, 17]"
synthetic.student0494@mathsy.synthetic,0.6046,english,Synthetic Student 494 (D Level),Fresh Starter,kertas1,"[13, 4, 10]",STU-SYN0494,494,D,46.92,15256,"[8, 11, 3, 17]"
synthetic.student0495@mathsy.synthetic,0.5878,english,Synthetic Student 495 (C Level),Flexible Learner,kertas1,"[10, 6, 7, 18]",STU-SYN0495,495,C,53.47,15257,"[1, 11, 4, 15, 12]"
synthetic.student0496@mathsy.synthetic,0.4098,english,Synthetic Student 496 (G Level),Fresh Starter,kertas2,"[1, 7, 4]",STU-SYN0496,496,G,27.21,15258,"[15, 8, 2]"
synthetic.student0497@mathsy.synthetic,0.5202,english,Synthetic Student 497 (D Level),Flexible Learner,kertas1,"[6, 12, 3, 18]",STU-SYN0497,497,D,49.74,15259,"[16, 1, 8, 11]"
synthetic.student0498@mathsy.synthetic,0.58,english,Synthetic Student 498 (C Level),Weekend Learner,kertas1,"[11, 3]",STU-SYN0498,498,C,54.87,15260,"[16, 17, 8]"
synthetic.student0499@mathsy.synthetic,0.7532,bm,Synthetic Student 499 (A- Level),Consistent Climber,kertas1,"[5, 7, 4, 3]",STU-SYN0499,499,A-,79.34,15261,"[6, 14]"
synthetic.student0500@mathsy.synthetic,0.5267,bm,Synthetic Student 500 (C Level),Deep Focus Learner,kertas1,"[4, 14]",STU-SYN0500,500,C,51.07,15262,"[6, 13]"
synthetic.student0501@mathsy.synthetic,0.7646,english,Synthetic Student 501 (A- Level),Flexible Learner,kertas1,"[3, 8, 16]",STU-SYN0501,501,A-,73.79,15263,"[14, 7, 5, 11]"
synthetic.student0502@mathsy.synthetic,0.9485,bm,Synthetic Student 502 (A+ Level),High Achiever,kertas1,"[1, 16, 17, 3]",STU-SYN0502,502,A+,95.52,15264,"[7, 15, 8, 4, 5]"
synthetic.student0503@mathsy.synthetic,0.5188,english,Synthetic Student 503 (D Level),Flexible Learner,mixed,"[12, 17, 8, 4]",STU-SYN0503,503,D,48.82,15265,"[9, 18, 11]"
synthetic.student0504@mathsy.synthetic,0.582,english,Synthetic Student 504 (C Level),Flexible Learner,mixed,"[17, 3, 7, 2]",STU-SYN0504,504,C,53.51,15266,"[4, 13, 14]"
synthetic.student0505@mathsy.synthetic,0.4676,english,Synthetic Student 505 (E Level),Weekend Learner,kertas1,"[16, 1]",STU-SYN0505,505,E,43.37,15267,"[6, 2, 15]"
synthetic.student0506@mathsy.synthetic,0.6657,english,Synthetic Student 506 (B+ Level),Weekend Learner,kertas1,"[5, 14]",STU-SYN0506,506,B+,65.15,15268,"[7, 18]"
synthetic.student0507@mathsy.synthetic,0.5083,english,Synthetic Student 507 (D Level),Deep Focus Learner,mixed,"[5, 2]",STU-SYN0507,507,D,46.8,15269,"[8, 10, 13]"
synthetic.student0508@mathsy.synthetic,0.5242,bm,Synthetic Student 508 (E Level),Fresh Starter,kertas2,"[16, 6]",STU-SYN0508,508,E,40.14,15270,"[7, 5]"
synthetic.student0509@mathsy.synthetic,0.6873,bm,Synthetic Student 509 (B Level),Flexible Learner,kertas2,"[9, 12, 11, 1]",STU-SYN0509,509,B,63.37,15271,"[18, 6, 7, 10, 8]"
synthetic.student0510@mathsy.synthetic,0.5077,english,Synthetic Student 510 (D Level),Flexible Learner,kertas2,"[2, 12, 11]",STU-SYN0510,510,D,48.59,15272,"[5, 6, 4, 14]"
synthetic.student0511@mathsy.synthetic,0.6196,english,Synthetic Student 511 (B Level),Consistent Climber,kertas1,"[17, 2, 5]",STU-SYN0511,511,B,64.52,15273,"[11, 10, 7]"
synthetic.student0512@mathsy.synthetic,0.3076,english,Synthetic Student 512 (G Level),Fresh Starter,kertas2,"[9, 12]",STU-SYN0512,512,G,25,15274,"[10, 7, 2]"
synthetic.student0513@mathsy.synthetic,0.4856,bm,Synthetic Student 513 (D Level),Flexible Learner,kertas1,"[18, 1]",STU-SYN0513,513,D,45.13,15275,"[17, 9, 14]"
synthetic.student0514@mathsy.synthetic,0.7161,english,Synthetic Student 514 (B+ Level),Flexible Learner,mixed,"[11, 14]",STU-SYN0514,514,B+,66.25,15276,"[12, 3, 16, 8]"
synthetic.student0515@mathsy.synthetic,0.5833,english,Synthetic Student 515 (C Level),Deep Focus Learner,kertas1,"[15, 14, 8]",STU-SYN0515,515,C,50.74,15277,"[5, 12, 4, 1, 18]"
synthetic.student0516@mathsy.synthetic,0.8368,english,Synthetic Student 516 (A Level),Consistent Climber,kertas1,"[18, 14, 7, 3]",STU-SYN0516,516,A,87.67,15278,"[10, 1]"
synthetic.student0517@mathsy.synthetic,0.6363,english,Synthetic Student 517 (B Level),Consistent Climber,kertas2,"[7, 11, 3]",STU-SYN0517,517,B,64.39,15279,"[4, 17, 9]"
synthetic.student0518@mathsy.synthetic,0.8222,english,Synthetic Student 518 (A Level),High Achiever,kertas2,"[4, 7, 6]",STU-SYN0518,518,A,88.24,15280,"[17, 2]"
synthetic.student0519@mathsy.synthetic,0.6412,english,Synthetic Student 519 (C+ Level),Deep Focus Learner,kertas2,"[13, 18]",STU-SYN0519,519,C+,59.7,15281,"[8, 1, 7, 11]"
synthetic.student0520@mathsy.synthetic,0.8204,english,Synthetic Student 520 (A Level),Consistent Climber,kertas2,"[1, 12, 7]",STU-SYN0520,520,A,85.28,15282,"[13, 16]"
synthetic.student0521@mathsy.synthetic,0.5418,english,Synthetic Student 521 (C Level),Weekend Learner,kertas1,"[8, 3]",STU-SYN0521,521,C,50.11,15283,"[9, 5]"
synthetic.student0522@mathsy.synthetic,0.7921,english,Synthetic Student 522 (A- Level),Deep Focus Learner,kertas2,"[12, 14]",STU-SYN0522,522,A-,72.66,15284,"[10, 6, 15, 3]"
synthetic.student0523@mathsy.synthetic,0.4538,english,Synthetic Student 523 (G Level),Flexible Learner,kertas2,"[17, 16]",STU-SYN0523,523,G,39.71,15285,"[2, 9, 4, 10, 18]"
synthetic.student0524@mathsy.synthetic,0.9248,english,Synthetic Student 524 (A+ Level),High Achiever,kertas2,"[16, 14, 11, 13]",STU-SYN0524,524,A+,95.4,15286,"[7, 2, 1]"
synthetic.student0525@mathsy.synthetic,0.8355,english,Synthetic Student 525 (A Level),Consistent Climber,mixed,"[3, 8, 2]",STU-SYN0525,525,A,88.13,15287,"[4, 10]"
synthetic.student0526@mathsy.synthetic,0.5351,bm,Synthetic Student 526 (G Level),Fresh Starter,mixed,"[11, 14, 4]",STU-SYN0526,526,G,39.77,15288,"[15, 10, 12]"
synthetic.student0527@mathsy.synthetic,0.7774,english,Synthetic Student 527 (A- Level),Flexible Learner,kertas2,"[6, 4, 14, 9]",STU-SYN0527,527,A-,77.61,15289,"[7, 8]"
synthetic.student0528@mathsy.synthetic,0.7939,english,Synthetic Student 528 (A- Level),Consistent Climber,mixed,"[13, 8]",STU-SYN0528,528,A-,79.04,15290,"[18, 9, 4, 16]"
synthetic.student0529@mathsy.synthetic,0.728,english,Synthetic Student 529 (A- Level),Flexible Learner,kertas1,"[8, 1, 13, 9]",STU-SYN0529,529,A-,73.56,15291,"[2, 7]"
synthetic.student0530@mathsy.synthetic,0.5293,english,Synthetic Student 530 (E Level),Fresh Starter,mixed,"[14, 1, 13, 3]",STU-SYN0530,530,E,40.04,15292,"[2, 10, 17]"
synthetic.student0531@mathsy.synthetic,0.7148,english,Synthetic Student 531 (B+ Level),Flexible Learner,kertas1,"[2, 10, 13]",STU-SYN0531,531,B+,67.39,15293,"[14, 15, 11]"
synthetic.student0532@mathsy.synthetic,0.9403,english,Synthetic Student 532 (A+ Level),High Achiever,kertas1,"[1, 6, 7, 2]",STU-SYN0532,532,A+,95.39,15294,"[10, 3, 15, 8]"
synthetic.student0533@mathsy.synthetic,0.4819,english,Synthetic Student 533 (D Level),Weekend Learner,kertas1,"[18, 17]",STU-SYN0533,533,D,47.03,15295,"[12, 15]"
synthetic.student0534@mathsy.synthetic,0.3045,english,Synthetic Student 534 (G Level),Fresh Starter,kertas1,"[4, 6]",STU-SYN0534,534,G,25,15296,"[17, 1]"
synthetic.student0535@mathsy.synthetic,0.4883,english,Synthetic Student 535 (G Level),Fresh Starter,kertas1,"[18, 15, 12]",STU-SYN0535,535,G,34.12,15297,"[16, 5, 14, 7]"
synthetic.student0536@mathsy.synthetic,0.6739,bm,Synthetic Student 536 (B Level),Weekend Learner,kertas2,"[11, 12, 7, 9]",STU-SYN0536,536,B,63.44,15298,"[6, 10, 4, 14]"
synthetic.student0537@mathsy.synthetic,0.8491,english,Synthetic Student 537 (A Level),High Achiever,mixed,"[5, 3, 6]",STU-SYN0537,537,A,84.68,15299,"[17, 18, 10, 12, 7]"
synthetic.student0538@mathsy.synthetic,0.6426,bm,Synthetic Student 538 (C+ Level),Deep Focus Learner,kertas2,"[5, 18, 9]",STU-SYN0538,538,C+,58.61,15300,"[4, 11, 13, 17, 2]"
synthetic.student0539@mathsy.synthetic,0.9488,english,Synthetic Student 539 (A+ Level),High Achiever,kertas1,"[16, 11, 2]",STU-SYN0539,539,A+,98,15301,"[6, 12, 13, 9]"
